序号,求职者id,求职者姓名,预期岗位,求职类型,性别,年龄,期望工作地址,居住地址,可报到时间,工作经验,自我评价,期望企业,期望最低薪资,期望最高薪资,学历,专业,竞赛经历,项目经历,工作经历,技能水平,简历关键词,获得证书
10181,7532184991890599444,赵用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,
10182,7532184996185566740,杨用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,
10183,7532185000480534036,林用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,
10184,7532185004775501332,钟用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,Python_GOOD,,
10185,7532185009070468628,冯用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,Python_GOOD,,
10186,7532185013365435924,黄用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,Python_GOOD,,
10187,7532185017660403220,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,Python_GOOD,,
10188,7532185021955370516,何用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,Python_GOOD,,
10189,7532185026250337812,傅用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,Python_GOOD,,
10190,7532228177786760724,姜用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,urllib3库_GOOD,Requests库_GOOD,Xpath_GOOD,Beautiful Soup_GOOD,Scrapy_GOOD,MySQL_GOOD,MongoDB_GOOD",,
10191,7532228199261597204,丁用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,
10192,7532228220736433684,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,
10193,7532228242211270164,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,
10194,7532228246506237460,孙用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,
10195,7532228250801204756,杨用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,urllib3库_GOOD,Requests库_GOOD,Xpath_GOOD,Beautiful Soup_GOOD,Scrapy_GOOD,MySQL_GOOD,MongoDB_GOOD",,
10196,7532228255096172052,屈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,urllib3库_GOOD,Requests库_GOOD,Xpath_GOOD,Beautiful Soup_GOOD,Scrapy_GOOD,MySQL_GOOD,MongoDB_GOOD",,
10197,7532228259391139348,王用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,urllib3库_GOOD,Requests库_GOOD,Xpath_GOOD,Beautiful Soup_GOOD,Scrapy_GOOD,MySQL_GOOD,MongoDB_GOOD",,大数据开发工程师-基础级
10198,7532228263686106644,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,
10199,7532270723732794900,林用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,R_GOOD,,
10200,7532270732322729492,钟用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10201,7532270745207631380,王用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10202,7539696893986270740,安先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1998-11-24 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10203,7539739564486356500,杨先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1999-04-01 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10204,7539739573076291092,林女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1995-12-08 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10205,7539739581666225684,黄先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1999-03-31 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10206,7539739590256160276,林女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1998-08-16 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10207,7539739598846094868,廖先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1997-09-28 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10208,7539739611730996756,郭先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1997-06-14 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10209,7539739658975637012,李先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1999-09-01 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10210,7539739667565571604,陈女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1999-08-10 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10211,7539739792119623188,李女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1998-02-16 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10212,7539739800709557780,杨先生,"[""数据分析师"",""数据挖掘工程师""]",,0,2000-05-01 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10213,7539739809299492372,王女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1998-01-16 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,大数据开发工程师-基础级
10214,7539739817889426964,刘先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1998-01-14 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10215,7539782531339185684,叶女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1998-02-08 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10216,7539782539929120276,杨先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1997-12-24 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10217,7539782544224087572,郭先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1999-12-11 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10218,7539782552814022164,曾女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-10-21 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10219,7539782561403956756,赵先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1996-07-04 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10220,7539782569993891348,莫先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1998-03-08 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10221,7539782578583825940,李女士,"[""数据分析师"",""数据挖掘工程师""]",,1,2000-09-15 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,"大数据开发工程师-基础级,大数据开发工程师-基础级"
10222,7539782587173760532,欧女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1998-09-02 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10223,7539782595763695124,王先生,"[""数据分析师"",""数据挖掘工程师""]",,0,2001-05-26 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10224,7539782604353629716,周女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-12-19 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10225,7539782612943564308,高女士,"[""数据分析师"",""数据挖掘工程师""]",,1,2000-03-03 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10226,7539782621533498900,秦先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1999-03-24 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10227,7539782625828466196,覃女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-11-04 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10228,7539782630123433492,刘女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1999-11-13 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10229,7539782634418400788,郭女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-12-17 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10230,7539782638713368084,陈女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1999-08-01 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10231,7539782643008335380,白先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1999-09-28 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,大数据开发工程师-基础级
10232,7539782647303302676,吴先生,"[""数据分析师"",""数据挖掘工程师""]",,0,2000-12-17 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10233,7539782651598269972,周女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1999-05-14 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10234,7539782655893237268,何先生,"[""数据分析师"",""数据挖掘工程师""]",,0,2001-01-11 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10235,7539782660188204564,卢女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1998-08-05 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10236,7539782664483171860,王女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-05-09 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10237,7539782668778139156,赵先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1997-07-13 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10238,7539782690252975636,范女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1999-01-28 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10239,7539782694547942932,刘先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1994-07-08 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10240,7539782698842910228,陈先生,"[""数据分析师"",""数据挖掘工程师""]",,0,2000-07-27 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10241,7539782703137877524,谭先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1998-12-24 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10242,7539782707432844820,陈女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-06-11 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10243,7539782711727812116,李先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1997-04-24 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10244,7539782716022779412,叶女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1996-07-21 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10245,7539782720317746708,钟女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-10-09 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10246,7539782724612714004,刘女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-10-19 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10247,7539782728907681300,徐先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1997-10-22 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10248,7539782733202648596,黄女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-07-25 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10249,7539782737497615892,苏女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-08-25 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10250,7539782741792583188,徐女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-07-14 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10251,7539782746087550484,曾先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1998-01-02 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10252,7539782750382517780,邱女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1998-06-19 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10253,7539782754677485076,王女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1999-01-27 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10254,7539782758972452372,谢女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-02-17 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10255,7539782763267419668,林女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-12-20 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10256,7539782767562386964,林女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-08-13 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10257,7539782771857354260,蓝女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-10-22 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10258,7539782776152321556,吴先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1997-05-15 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10259,7539825446652407316,黄女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1999-06-23 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10260,7539825450947374612,陈女士,"[""数据分析师"",""数据挖掘工程师""]",,1,1997-05-12 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10261,7539825455242341908,曾先生,"[""数据分析师"",""数据挖掘工程师""]",,0,1997-08-23 00:00:00.0,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10262,7533043143536209428,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10263,7533043156421111316,薛用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10264,7533043169306013204,赵用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10265,7533043182190915092,苏用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10266,7533043195075816980,赵用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10267,7533043203665751572,李用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,大数据开发工程师-基础级
10268,7533043216550653460,罗用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10269,7533043229435555348,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10270,7533043242320457236,罗用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10271,7533043250910391828,姚用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10272,7533043259500326420,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10273,7533086114684005908,高用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10274,7533086127568907796,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10275,7533086136158842388,郑用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10276,7533086149043744276,周用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10277,7533086161928646164,郭用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10278,7533086174813548052,谭用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10279,7533086183403482644,邓用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10280,7533086196288384532,方用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据开发工程师-基础级
10281,7533086209173286420,曹用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10282,7533086217763221012,郭用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10283,7533086230648122900,谢用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10284,7533086243533024788,王用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10285,7533086252122959380,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10286,7533086265007861268,潘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10287,7533086269302828564,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10288,7533086277892763156,吴用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10289,7533086290777665044,严用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10290,7533086299367599636,梅用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10291,7533086316547468820,徐用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10292,7533086325137403412,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10293,7533086338022305300,欧用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10294,7533086346612239892,黄用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10295,7533086359497141780,万用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10296,7533129124486508052,卫用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10297,7533129137371409940,令用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10298,7533129145961344532,龙用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10299,7533129158846246420,黄用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10300,7533129171731148308,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,大数据分析工程师-基础级
10301,7533129184616050196,王用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10302,7533129193205984788,肖用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10303,7533129206090886676,王用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10304,7533129214680821268,卢用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10305,7533129227565723156,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10306,7533129240450625044,沈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10307,7533129249040559636,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10308,7533129261925461524,周用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10309,7533129270515396116,卢用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10310,7533129283400298004,杨用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10311,7533129296285199892,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10312,7533129304875134484,周用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10313,7533129317760036372,冯用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10314,7533129330644938260,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,泰迪科技实习证明
10315,7533129343529840148,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10316,7533129356414742036,洪用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10317,7533129365004676628,钟用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10318,7533171975375220244,苏用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10319,7533171988260122132,倪用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10320,7533171996850056724,谈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10321,7533172005439991316,杨用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10322,7533172018324893204,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10323,7533172031209795092,李用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10324,7533172044094696980,韩用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10325,7533172052684631572,叶用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10326,7533172065569533460,H用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10327,7533172078454435348,李用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,大数据开发工程师-专业级
10328,7533172091339337236,郑用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10329,7533172099929271828,钟用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10330,7533172112814173716,柯用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10331,7533172125699075604,耿用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10332,7533172134289010196,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10333,7533172147173912084,杨用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10334,7533172160058813972,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
10335,7533172172943715860,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
